,16APSK,32APSK,8PSK,BFSK,BPSK,CSS,GFSK,GMSK,NBFM,OOK,QPSK,WBFM
16APSK,24,3,0,0,0,0,1,10,1,0,2,0
32APSK,26,4,0,0,0,0,0,11,0,0,0,0
8PSK,1,10,0,2,0,0,4,21,2,0,1,0
BFSK,1,1,0,28,0,0,2,6,1,0,1,1
BPSK,1,7,0,2,1,0,0,17,3,10,0,0
CSS,2,0,0,0,0,2,20,11,1,0,2,3
GFSK,0,0,0,0,0,0,26,9,4,0,2,0
GMSK,0,0,0,0,0,0,0,37,2,0,2,0
NBFM,0,0,0,0,0,0,0,8,33,0,0,0
OOK,0,0,0,0,0,0,4,17,2,18,0,0
QPSK,6,0,0,1,1,0,3,12,0,0,18,0
WBFM,0,0,0,0,0,0,0,8,32,0,0,1
