,16APSK,32APSK,8PSK,BFSK,BPSK,CSS,GFSK,GMSK,NBFM,OOK,QPSK,WBFM
16APSK,0,0,4,0,6,0,21,0,0,0,2,8
32APSK,0,0,1,0,1,0,16,0,12,0,10,1
8PSK,0,0,0,0,15,0,23,0,0,0,3,0
BFSK,0,0,0,0,0,0,21,0,0,0,20,0
BPSK,0,0,7,0,4,0,25,0,0,0,5,0
CSS,3,0,0,0,0,0,32,0,0,0,6,0
GFSK,0,15,0,0,0,0,25,0,0,0,1,0
GMSK,1,0,0,0,0,0,31,2,0,0,7,0
NBFM,0,0,0,0,0,0,41,0,0,0,0,0
OOK,0,0,0,0,0,2,39,0,0,0,0,0
QPSK,0,0,0,3,12,0,25,0,0,0,1,0
WBFM,0,0,0,0,0,0,41,0,0,0,0,0
