,16APSK,32APSK,8PSK,BFSK,BPSK,CSS,GFSK,GMSK,NBFM,OOK,QPSK,WBFM
16APSK,0,17,0,0,0,0,0,0,24,0,0,0
32APSK,0,22,0,0,0,0,0,0,19,0,0,0
8PSK,0,9,0,0,0,0,0,0,32,0,0,0
BFSK,0,0,0,12,0,0,0,0,29,0,0,0
BPSK,0,4,0,0,4,4,0,0,25,4,0,0
CSS,0,0,0,0,0,4,0,0,37,0,0,0
GFSK,0,0,0,0,0,0,14,0,27,0,0,0
GMSK,0,0,0,0,0,0,5,11,25,0,0,0
NBFM,0,0,0,0,0,0,0,0,41,0,0,0
OOK,0,0,0,0,0,0,0,0,28,13,0,0
QPSK,2,2,0,0,0,0,0,0,25,0,12,0
WBFM,0,0,0,0,0,0,0,0,41,0,0,0
