,16APSK,32APSK,8PSK,BFSK,BPSK,CSS,GFSK,GMSK,NBFM,OOK,QPSK,WBFM
16APSK,0,0,4,0,6,0,0,0,2,0,0,29
32APSK,0,0,2,0,3,0,0,0,34,0,0,2
8PSK,0,0,2,0,34,0,0,0,1,0,0,4
BFSK,0,0,0,0,2,0,0,0,3,0,36,0
BPSK,0,0,35,0,4,0,0,0,1,0,0,1
CSS,30,0,1,2,3,0,0,4,0,0,1,0
GFSK,0,30,2,1,2,0,0,0,3,0,0,3
GMSK,0,0,0,0,0,0,0,41,0,0,0,0
NBFM,0,0,1,0,10,0,29,0,1,0,0,0
OOK,0,0,0,0,0,41,0,0,0,0,0,0
QPSK,0,0,1,24,8,0,0,0,4,0,0,4
WBFM,0,0,1,0,3,0,37,0,0,0,0,0
