,16APSK,32APSK,8PSK,BFSK,BPSK,CSS,GFSK,GMSK,NBFM,OOK,QPSK,WBFM
16APSK,0,21,0,0,0,0,0,0,0,0,0,20
32APSK,0,23,0,0,0,0,0,0,0,0,0,18
8PSK,0,11,0,0,0,0,1,0,0,0,0,29
BFSK,0,0,0,12,0,0,15,0,0,0,0,14
BPSK,0,4,0,0,6,0,5,0,0,2,0,24
CSS,0,0,0,0,0,0,13,0,0,0,0,28
GFSK,0,0,0,0,0,0,23,0,0,0,0,18
GMSK,0,0,0,0,0,0,25,1,0,0,0,15
NBFM,0,0,0,0,0,0,0,0,8,0,0,33
OOK,0,0,0,0,0,0,9,0,0,16,0,16
QPSK,0,14,0,0,0,0,2,0,0,0,3,22
WBFM,0,0,0,0,0,0,1,0,0,0,0,40
