,16APSK,32APSK,8PSK,BFSK,BPSK,CSS,GFSK,GMSK,NBFM,OOK,QPSK,WBFM
16APSK,0,0,1,2,7,0,0,0,4,0,0,27
32APSK,0,0,0,1,6,0,0,0,31,0,1,2
8PSK,0,0,4,7,26,0,0,0,1,0,0,3
BFSK,0,0,0,1,0,0,0,0,0,0,40,0
BPSK,0,0,22,3,10,0,0,0,2,0,0,4
CSS,33,1,0,3,2,0,0,0,0,0,1,1
GFSK,0,35,1,3,2,0,0,0,0,0,0,0
GMSK,0,0,0,1,1,0,0,39,0,0,0,0
NBFM,0,0,0,0,0,0,0,0,0,0,14,0
OOK,0,0,0,0,1,40,0,0,0,0,0,0
QPSK,0,0,1,28,7,0,0,0,2,0,0,3
WBFM,0,0,0,0,0,0,39,0,0,0,2,0
