,16APSK,32APSK,8PSK,BFSK,BPSK,CSS,GFSK,GMSK,NBFM,OOK,QPSK,WBFM
16APSK,7,0,0,0,0,0,2,4,0,0,28,0
32APSK,22,3,0,0,1,0,1,0,0,0,14,0
8PSK,0,0,0,1,4,0,3,8,1,0,24,0
BFSK,0,0,0,35,0,0,0,3,0,0,3,0
BPSK,1,0,0,0,19,0,0,1,0,3,17,0
CSS,0,0,0,0,0,8,14,8,0,0,10,1
GFSK,0,0,0,0,1,0,21,10,0,0,9,0
GMSK,0,0,0,0,0,0,0,34,0,0,7,0
NBFM,0,0,0,0,0,0,0,7,34,0,0,0
OOK,0,0,0,2,0,0,4,7,7,20,1,0
QPSK,1,0,0,0,0,0,1,1,1,0,37,0
WBFM,0,0,0,0,0,0,0,4,28,0,0,9
