,16APSK,32APSK,8PSK,BFSK,BPSK,CSS,GFSK,GMSK,NBFM,OOK,QPSK,WBFM
16APSK,9,10,0,0,0,0,0,0,22,0,0,0
32APSK,0,24,0,0,0,0,0,0,17,0,0,0
8PSK,0,5,6,0,0,0,0,0,30,0,0,0
BFSK,0,0,0,11,0,0,0,0,29,1,0,0
BPSK,0,4,0,0,3,0,0,0,23,11,0,0
CSS,0,0,0,0,0,7,0,0,34,0,0,0
GFSK,0,0,0,0,0,0,17,0,24,0,0,0
GMSK,0,0,0,0,0,0,3,14,23,1,0,0
NBFM,0,0,0,0,0,0,0,0,41,0,0,0
OOK,0,0,0,0,0,0,0,0,22,19,0,0
QPSK,1,11,1,0,0,0,0,0,23,0,5,0
WBFM,0,0,0,0,0,0,0,0,41,0,0,0
