,16APSK,32APSK,8PSK,BFSK,BPSK,CSS,GFSK,GMSK,NBFM,OOK,QPSK,WBFM
16APSK,19,0,0,0,0,0,0,2,0,0,1,19
32APSK,11,7,0,0,0,0,0,1,0,0,4,18
8PSK,3,0,8,0,0,0,0,4,0,0,0,26
BFSK,8,0,0,0,0,0,0,11,0,0,4,18
BPSK,0,0,0,5,5,0,0,3,0,0,8,20
CSS,1,0,0,0,0,0,0,10,0,0,8,22
GFSK,6,0,0,0,0,0,0,16,0,0,5,14
GMSK,5,0,0,0,0,0,0,13,0,0,4,19
NBFM,1,0,0,0,0,0,0,17,0,0,0,23
OOK,0,0,0,2,6,0,0,10,0,0,2,17
QPSK,3,0,0,0,0,0,0,3,0,0,19,16
WBFM,0,0,0,0,0,0,0,9,0,0,1,31
