,16APSK,32APSK,8PSK,BFSK,BPSK,CSS,GFSK,GMSK,NBFM,OOK,QPSK,WBFM
16APSK,15,6,0,0,0,0,0,0,2,0,0,18
32APSK,2,20,0,0,0,0,0,0,5,0,0,14
8PSK,0,7,0,0,3,0,0,0,2,0,0,29
BFSK,0,2,0,8,0,0,0,0,4,0,0,27
BPSK,0,8,0,0,8,0,0,0,4,1,0,20
CSS,0,0,0,0,0,0,0,8,4,1,0,28
GFSK,0,4,0,0,0,0,8,5,3,0,0,21
GMSK,0,1,0,0,0,0,2,8,1,1,0,28
NBFM,0,0,0,0,0,0,0,0,12,0,0,29
OOK,0,0,0,0,0,0,0,0,1,16,0,24
QPSK,0,3,0,0,0,0,0,0,4,0,10,24
WBFM,0,0,0,0,0,0,0,0,2,0,0,39
