,16APSK,32APSK,8PSK,BFSK,BPSK,CSS,GFSK,GMSK,NBFM,OOK,QPSK,WBFM
16APSK,28,0,0,0,0,0,0,0,10,0,0,3
32APSK,4,24,0,0,2,0,0,0,8,0,0,3
8PSK,4,7,0,0,3,0,0,1,16,0,2,8
BFSK,0,2,0,10,1,0,0,14,12,0,0,2
BPSK,0,0,0,0,28,0,0,0,8,0,0,5
CSS,0,0,0,0,0,23,0,1,12,0,0,5
GFSK,1,0,0,0,1,0,21,8,5,0,1,4
GMSK,0,0,0,0,0,0,0,32,2,0,0,7
NBFM,0,0,0,0,0,0,0,6,33,0,0,2
OOK,0,0,0,0,0,0,0,10,26,0,0,5
QPSK,8,0,0,0,2,0,0,0,9,0,19,3
WBFM,0,0,0,0,0,0,0,2,22,0,0,17
