,16APSK,32APSK,8PSK,BFSK,BPSK,CSS,GFSK,GMSK,NBFM,OOK,QPSK,WBFM
16APSK,23,2,0,0,1,0,0,0,13,0,0,2
32APSK,4,22,0,0,2,0,0,0,9,0,0,4
8PSK,2,10,0,0,2,0,0,0,17,0,0,10
BFSK,2,2,0,2,2,0,0,14,18,0,0,1
BPSK,0,0,0,0,22,0,0,0,11,0,0,8
CSS,0,0,0,0,0,0,0,16,17,0,0,8
GFSK,3,1,0,0,0,0,5,13,17,0,0,2
GMSK,0,0,0,0,0,0,0,23,16,0,0,2
NBFM,0,0,0,0,0,0,0,0,41,0,0,0
OOK,0,0,0,0,0,0,0,2,31,0,0,8
QPSK,7,2,0,0,4,0,0,0,11,0,15,2
WBFM,0,0,0,0,0,0,0,0,40,0,0,1
