,16APSK,32APSK,8PSK,BFSK,BPSK,CSS,GFSK,GMSK,NBFM,OOK,QPSK,WBFM
16APSK,7,12,0,0,0,0,0,0,21,1,0,0
32APSK,0,24,0,0,0,0,0,0,15,2,0,0
8PSK,0,10,0,0,0,0,0,0,31,0,0,0
BFSK,0,0,0,8,0,0,0,0,24,9,0,0
BPSK,0,3,0,0,3,0,0,0,18,17,0,0
CSS,0,0,0,0,0,1,0,0,34,6,0,0
GFSK,0,0,0,0,0,0,14,0,24,3,0,0
GMSK,0,0,0,0,0,0,0,1,20,20,0,0
NBFM,0,0,0,0,0,0,0,0,41,0,0,0
OOK,0,0,0,0,0,0,0,0,20,21,0,0
QPSK,2,5,0,0,0,0,0,0,23,1,10,0
WBFM,0,0,0,0,0,0,0,0,41,0,0,0
