,16APSK,32APSK,8PSK,BFSK,BPSK,CSS,GFSK,GMSK,NBFM,OOK,QPSK,WBFM
16APSK,0,10,31,0,0,0,0,0,0,0,0,0
32APSK,0,11,30,0,0,0,0,0,0,0,0,0
8PSK,0,2,39,0,0,0,0,0,0,0,0,0
BFSK,0,5,36,0,0,0,0,0,0,0,0,0
BPSK,0,3,38,0,0,0,0,0,0,0,0,0
CSS,0,0,41,0,0,0,0,0,0,0,0,0
GFSK,0,0,41,0,0,0,0,0,0,0,0,0
GMSK,0,0,41,0,0,0,0,0,0,0,0,0
NBFM,0,0,40,0,0,0,0,0,0,0,0,1
OOK,0,0,41,0,0,0,0,0,0,0,0,0
QPSK,0,4,37,0,0,0,0,0,0,0,0,0
WBFM,0,0,26,0,0,0,0,0,0,0,0,15
